(0, 194, 96, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(38, 203, 217, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(39, 1096, 398, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(40, 440, 95, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(41, 1077, 483, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(42, 167, 217, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(43, 1041, 400, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(44, 181, 257, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(45, 1027, 396, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(46, 1353, 156, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(47, 407, 115, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(48, 203, 162, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(49, 1089, 525, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(50, 109, 120, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(51, 1316, 125, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(52, 408, 96, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(53, 1245, 384, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(54, 397, 127, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(55, 381, 76, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(56, 395, 101, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(57, 1146, 605, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(58, 794, 70, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(59, 1117, 427, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(60, 1064, 82, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(61, 431, 115, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(62, 476, 112, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(63, 393, 88, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(64, 392, 42, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(65, 976, 40, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(66, 1195, 507, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(67, 1071, 395, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(68, 120, 12, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(69, 1147, 498, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(70, 1189, 74, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(71, 212, 217, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(72, 194, 217, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(73, 1082, 385, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(74, 415, 119, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(75, 405, 94, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(76, 1316, 159, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(77, 402, 113, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(78, 381, 73, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(79, 200, 205, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(80, 394, 155, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(81, 405, 85, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(82, 1015, 409, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(83, 997, 394, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(84, 381, 71, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(85, 400, 120, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(86, 333, 18, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(87, 1210, 380, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(88, 200, 130, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(89, 375, 96, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(90, 374, 62, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(91, 163, 157, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(92, 375, 70, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(93, 1029, 406, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(94, 1010, 411, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(95, 17, 81, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(96, 1335, 570, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(97, 420, 99, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(98, 1019, 411, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(99, 424, 114, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(100, 1539, 94, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(101, 1018, 429, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(102, 379, 78, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(103, 1033, 396, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(104, 1999, 97, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(105, 203, 217, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(106, 1027, 414, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(107, 1101, 391, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(108, 1126, 447, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(109, 210, 64, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(110, 1189, 74, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(111, 994, 392, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(112, 1065, 411, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(113, 1102, 612, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(114, 181, 112, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(115, 379, 48, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(116, 1119, 413, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(117, 1083, 409, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(118, 181, 162, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(119, 1317, 160, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(120, 374, 76, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(121, 401, 144, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(122, 406, 165, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(123, 1092, 720, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(124, 1314, 232, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(125, 1028, 55, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(126, 396, 59, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(127, 1126, 397, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(128, 415, 142, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(129, 1731, 109, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(130, 806, 117, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(131, 409, 143, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(132, 1316, 207, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(133, 1070, 521, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(134, 181, 264, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(135, 1094, 376, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(136, 433, 87, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(137, 405, 94, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(138, 479, 75, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(139, 449, 95, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(140, 1073, 411, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(141, 1061, 415, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(142, 459, 387, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(143, 383, 57, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(144, 1163, 418, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(145, 1130, 396, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(146, 1044, 462, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(147, 428, 101, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(148, 422, 111, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(149, 984, 429, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(150, 171, 217, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(151, 1057, 440, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(152, 91, 24, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(153, 974, 375, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(154, 1036, 395, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(155, 1548, 90, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(156, 945, 388, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(157, 1105, 399, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(158, 389, 92, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(159, 200, 167, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(160, 1022, 443, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(161, 952, 82, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(162, 404, 145, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(163, 396, 110, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(164, 404, 83, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(165, 395, 97, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(166, 389, 126, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(167, 405, 93, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(168, 1043, 396, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(169, 993, 401, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(170, 1755, 91, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(171, 924, 74, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(172, 203, 217, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(173, 1513, 36, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(174, 185, 138, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(175, 1028, 411, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(176, 1039, 417, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(177, 874, 404, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(178, 1019, 396, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(179, 1127, 63, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(180, 1053, 446, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(181, 391, 86, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(182, 194, 217, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(183, 1000, 414, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(184, 1593, 109, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(185, 1028, 411, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(186, 1007, 395, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(187, 787, 121, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(188, 1050, 404, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
